socialPartner_role,Employment protection and retention,Ensuring business continuity and support for essential services,Income protection beyond short-time work,Measures to prevent social hardship,"Promoting the economic, labour market and social recovery","Protection of workers, adaptation of workplace",Reorientation of business activities,Responses to inflation,Supporting businesses to stay afloat
,143.0,118.0,79.0,199.0,306.0,192.0,154.0,167.0,390.0
Agreed (outcome),13.0,5.0,8.0,1.0,2.0,6.0,1.0,,3.0
Consulted or negotiated,24.0,10.0,40.0,8.0,9.0,6.0,4.0,,53.0
No involvement / informed,14.0,29.0,41.0,30.0,10.0,17.0,10.0,,92.0
Not applicable,1.0,6.0,6.0,5.0,3.0,4.0,4.0,,13.0
