index,name,type
2,Employment retention,53
4,Income protection,48
3,Health and safety,45
14,Working time flexibility,38
12,Training and employability,33
1,Bonuses,30
5,Leave arrangements,23
8,Pay increases,22
11,Telework,20
13,Work organisation,19
