,calc_minorCategory,calc_category_githubURL,__KP_ID,Category
8,Supporting businesses to stay afloat,https://static.eurofound.europa.eu/covid19db/categories/Supporting_businesses_to_stay_afloat.html,550,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Supporting_businesses_to_stay_afloat.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverviewCompact"" style=""color:#4c4c4c!important"">Supporting businesses to stay afloat</a>"
4,"Promoting the economic, labour market and social recovery",https://static.eurofound.europa.eu/covid19db/categories/Promoting_the_economic_labour_market_and_social_recovery.html,326,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Promoting_the_economic_labour_market_and_social_recovery.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverviewCompact"" style=""color:#4c4c4c!important"">Promoting the economic, labour market and social recovery</a>"
3,Measures to prevent social hardship,https://static.eurofound.europa.eu/covid19db/categories/Measures_to_prevent_social_hardship.html,246,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Measures_to_prevent_social_hardship.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverviewCompact"" style=""color:#4c4c4c!important"">Measures to prevent social hardship</a>"
5,"Protection of workers, adaptation of workplace",https://static.eurofound.europa.eu/covid19db/categories/Protection_of_workers_adaption_of_workplace.html,225,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Protection_of_workers_adaption_of_workplace.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverviewCompact"" style=""color:#4c4c4c!important"">Protection of workers, adaptation of workplace</a>"
0,Employment protection and retention,https://static.eurofound.europa.eu/covid19db/categories/Employment_protection_and_retention.html,197,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Employment_protection_and_retention.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverviewCompact"" style=""color:#4c4c4c!important"">Employment protection and retention</a>"
2,Income protection beyond short-time work,https://static.eurofound.europa.eu/covid19db/categories/Income_protection_beyond_short-time_work.html,174,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Income_protection_beyond_short-time_work.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverviewCompact"" style=""color:#4c4c4c!important"">Income protection beyond short-time work</a>"
6,Reorientation of business activities,https://static.eurofound.europa.eu/covid19db/categories/Re-orientation_of_business_activities.html,170,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Re-orientation_of_business_activities.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverviewCompact"" style=""color:#4c4c4c!important"">Reorientation of business activities</a>"
1,Ensuring business continuity and support for essential services,https://static.eurofound.europa.eu/covid19db/categories/Support_for_essential_services.html,168,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Support_for_essential_services.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverviewCompact"" style=""color:#4c4c4c!important"">Ensuring business continuity and support for essential services</a>"
7,Responses to inflation,https://static.eurofound.europa.eu/covid19db/categories/Responses_to_inflation.html,151,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Responses_to_inflation.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverviewCompact"" style=""color:#4c4c4c!important"">Responses to inflation</a>"
