index,name,type
2,Employment retention,4
3,Health and safety,4
12,Work organisation,3
1,Bonuses,2
9,Solidarity,2
13,Working time flexibility,2
0,Basic working time,1
4,Income protection,1
6,Pay freezes or cuts,1
7,Pay increases,1
