count,actor
285,National government
110,Public employment service
77,Local / regional government
62,Employers' organisations
58,Trade unions
43,Company / Companies
15,Other social actors (e.g. NGOs)
11,Social partners jointly
9,Public support service providers
8,Social insurance
5,"EU (Council, EC, EP)"
