Country,Title,Subcategory,Last updated
":GR: <a href=""https://static.eurofound.europa.eu/covid19db/countries/GR.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Greece</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/GR-1996-17_2564.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">LAEK, Special Fund for the Employment and Vocational Training</a>","Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",12/06/2022
":BG: <a href=""https://static.eurofound.europa.eu/covid19db/countries/BG.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Bulgaria</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/BG-2019-49_2988.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Export Hub Bulgaria</a>",Matching/networking,12/06/2022
":SI: <a href=""https://static.eurofound.europa.eu/covid19db/countries/SI.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Slovenia</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/SI-1976-40_2579.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Publications of the Institute of Macroeconomic Analysis and Development</a>",Other,12/06/2022
":FR: <a href=""https://static.eurofound.europa.eu/covid19db/countries/FR.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">France</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/FR-2015-1_2539.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">BNOA - National exchange for craft opportunities</a>",Matching/networking,12/05/2022
":SK: <a href=""https://static.eurofound.europa.eu/covid19db/countries/SK.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Slovakia</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/SK-2001-32_2652.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Agreements on work performed outside the employment relationship</a>",Working time flexibility,12/01/2022
":FR: <a href=""https://static.eurofound.europa.eu/covid19db/countries/FR.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">France</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/FR-2008-43_2616.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Credit mediation structure</a>",Rescue procedures in case of insolvency or adaptation of insolvency regulation,11/29/2022
":FR: <a href=""https://static.eurofound.europa.eu/covid19db/countries/FR.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">France</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/FR-1985-30_2509.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Employer groups</a>",Working time flexibility,11/29/2022
":FR: <a href=""https://static.eurofound.europa.eu/covid19db/countries/FR.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">France</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/FR-2015-1_2613.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Business Support and Economic Development Observatory</a>",Access to finance,11/29/2022
":SK: <a href=""https://static.eurofound.europa.eu/covid19db/countries/SK.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Slovakia</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/SK-2000-1_2505.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Industrial parks and Industrial zones</a>",Access to finance,11/29/2022
":FR: <a href=""https://static.eurofound.europa.eu/covid19db/countries/FR.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">France</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/FR-2004-1_2454.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Prospective observatories on jobs and qualifications</a>","Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/29/2022
":FR: <a href=""https://static.eurofound.europa.eu/covid19db/countries/FR.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">France</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/FR-2019-1_2702.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Personal training account (CPF)</a>","Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/29/2022
":FR: <a href=""https://static.eurofound.europa.eu/covid19db/countries/FR.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">France</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/FR-1985-1_2542.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Transenterprises</a>",Matching/networking,11/29/2022
":FR: <a href=""https://static.eurofound.europa.eu/covid19db/countries/FR.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">France</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/FR-1984-1_2648.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">The research tax credit</a>",Direct subsidies (full or partial),11/29/2022
":PL: <a href=""https://static.eurofound.europa.eu/covid19db/countries/PL.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Poland</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/PL-2004-18_2583.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Provision of training</a>","Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/28/2022
":PL: <a href=""https://static.eurofound.europa.eu/covid19db/countries/PL.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Poland</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/PL-2020-14_2575.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Grant scheme to support businesses’ internationalisation</a>",Foreign trade related measures,11/28/2022
":PL: <a href=""https://static.eurofound.europa.eu/covid19db/countries/PL.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Poland</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/PL-2018-40_2684.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Support for Succession in Family Businesses</a>",Access to finance,11/28/2022
":PL: <a href=""https://static.eurofound.europa.eu/covid19db/countries/PL.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Poland</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/PL-2004-18_2468.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Training and retraining for workers threatened by redundancies</a>",Matching/networking,11/25/2022
":PL: <a href=""https://static.eurofound.europa.eu/covid19db/countries/PL.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Poland</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/PL-1995-41_2584.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Special economic zones (SEZ)</a>",Direct subsidies (full or partial),11/25/2022
":PL: <a href=""https://static.eurofound.europa.eu/covid19db/countries/PL.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Poland</a>","<a href=""https://static.eurofound.europa.eu/covid19db/cases/PL-2004-18_2519.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=latestSI"">Training fund in enterprises</a>","Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/25/2022
