group,name,recordId
"Targeted at citizens, businesses and workers in general",All citizens,21
"Targeted at citizens, businesses and workers in general",All workers,7
"Targeted at citizens, businesses and workers in general",All businesses,15
Targeted at specific groups of citizens (top 5),People on low incomes,8
Targeted at specific groups of citizens (top 5),People on social benefits,6
Targeted at specific groups of citizens (top 5),Other groups of citizens,5
Targeted at specific groups of citizens (top 5),Pensioners,3
Targeted at specific groups of citizens (top 5),Disabled,2
