Topic,Indicator name,Top category,Country Name,Country Code,Category,Value,Count
Affordability,Housing cost overburden rate (>40% of income),Age category,Spain,ES,40-65,0.080517054,27858
Affordability,Housing cost overburden rate (>40% of income),Age category,Spain,ES,65 plus,0.058492091,13332
Affordability,Housing cost overburden rate (>40% of income),Age category,Finland,FI,18-24,0.13992247,1476
Affordability,Housing cost overburden rate (>40% of income),Age category,Finland,FI,25-39,0.064571604,3038
Affordability,Housing cost overburden rate (>40% of income),Age category,Finland,FI,40-65,0.043897592,7861
Affordability,Housing cost overburden rate (>40% of income),Age category,Finland,FI,65 plus,0.056779165,4025
Affordability,Housing cost overburden rate (>40% of income),Age category,France,FR,18-24,0.1716903,2663
Affordability,Housing cost overburden rate (>40% of income),Age category,France,FR,25-39,0.143116042,5134
Affordability,Housing cost overburden rate (>40% of income),Age category,France,FR,40-65,0.148839727,13050
Affordability,Housing cost overburden rate (>40% of income),Age category,France,FR,65 plus,0.128675207,9095
Affordability,Housing cost overburden rate (>40% of income),Age category,Croatia,HR,18-24,0.01966376,1387
Affordability,Housing cost overburden rate (>40% of income),Age category,Croatia,HR,25-39,0.034251112,2518
Affordability,Housing cost overburden rate (>40% of income),Age category,Croatia,HR,40-65,0.037041765,7512
Affordability,Housing cost overburden rate (>40% of income),Age category,Croatia,HR,65 plus,0.073416151,6344
Affordability,Housing cost overburden rate (>40% of income),Age category,Hungary,HU,18-24,0.094944596,1139
Affordability,Housing cost overburden rate (>40% of income),Age category,Hungary,HU,25-39,0.101762198,2522
Affordability,Housing cost overburden rate (>40% of income),Age category,Hungary,HU,40-65,0.073313095,6398
Affordability,Housing cost overburden rate (>40% of income),Age category,Hungary,HU,65 plus,0.073289432,5398
Affordability,Housing cost overburden rate (>40% of income),Age category,Ireland,IE,18-24,0.034053661,720
Affordability,Housing cost overburden rate (>40% of income),Age category,Ireland,IE,25-39,0.061325803,1086
Affordability,Housing cost overburden rate (>40% of income),Age category,Ireland,IE,40-65,0.052354034,3735
Affordability,Housing cost overburden rate (>40% of income),Age category,Ireland,IE,65 plus,0.017080829,2417
Affordability,Housing cost overburden rate (>40% of income),Age category,Lithuania,LT,18-24,0.063957147,530
Affordability,Housing cost overburden rate (>40% of income),Age category,Lithuania,LT,25-39,0.043457702,1622
Affordability,Housing cost overburden rate (>40% of income),Age category,Lithuania,LT,40-65,0.056058541,4591
Affordability,Housing cost overburden rate (>40% of income),Age category,Lithuania,LT,65 plus,0.049996044,3918
Affordability,Housing cost overburden rate (>40% of income),Age category,Luxembourg,LU,18-24,0.4083426,610
Affordability,Housing cost overburden rate (>40% of income),Age category,Luxembourg,LU,25-39,0.409484774,1832
Affordability,Housing cost overburden rate (>40% of income),Age category,Luxembourg,LU,40-65,0.326641053,3914
Affordability,Housing cost overburden rate (>40% of income),Age category,Luxembourg,LU,65 plus,0.189309493,1864
Affordability,Housing cost overburden rate (>40% of income),Age category,Latvia,LV,18-24,0.121867187,603
Affordability,Housing cost overburden rate (>40% of income),Age category,Latvia,LV,25-39,0.114279009,1860
Affordability,Housing cost overburden rate (>40% of income),Age category,Latvia,LV,40-65,0.123030193,4393
Affordability,Housing cost overburden rate (>40% of income),Age category,Latvia,LV,65 plus,0.155261829,3174
Affordability,Housing cost overburden rate (>40% of income),Age category,Netherlands,NL,18-24,0.176117882,1921
Affordability,Housing cost overburden rate (>40% of income),Age category,Netherlands,NL,25-39,0.128634974,3097
Affordability,Housing cost overburden rate (>40% of income),Age category,Netherlands,NL,40-65,0.076788738,9048
Affordability,Housing cost overburden rate (>40% of income),Age category,Netherlands,NL,65 plus,0.116880506,8458
Affordability,Housing cost overburden rate (>40% of income),Age category,Poland,PL,18-24,0.111693166,2477
Affordability,Housing cost overburden rate (>40% of income),Age category,Poland,PL,25-39,0.119848631,6521
Affordability,Housing cost overburden rate (>40% of income),Age category,Poland,PL,40-65,0.11855457,15086
Affordability,Housing cost overburden rate (>40% of income),Age category,Poland,PL,65 plus,0.125052348,12115
Affordability,Housing cost overburden rate (>40% of income),Age category,Portugal,PT,18-24,0.050107777,2472
Affordability,Housing cost overburden rate (>40% of income),Age category,Portugal,PT,25-39,0.062407076,3838
Affordability,Housing cost overburden rate (>40% of income),Age category,Portugal,PT,40-65,0.048399281,13171
Affordability,Housing cost overburden rate (>40% of income),Age category,Portugal,PT,65 plus,0.026758889,9896
Affordability,Housing cost overburden rate (>40% of income),Age category,Romania,RO,18-24,0.107973069,1168
Affordability,Housing cost overburden rate (>40% of income),Age category,Romania,RO,25-39,0.104666457,2296
Affordability,Housing cost overburden rate (>40% of income),Age category,Romania,RO,40-65,0.086844571,6604
Affordability,Housing cost overburden rate (>40% of income),Age category,Romania,RO,65 plus,0.091433294,5270
Affordability,Housing cost overburden rate (>40% of income),Age category,Sweden,SE,18-24,0.257104218,1834
Affordability,Housing cost overburden rate (>40% of income),Age category,Sweden,SE,25-39,0.139646441,3427
Affordability,Housing cost overburden rate (>40% of income),Age category,Sweden,SE,40-65,0.108756602,7312
Affordability,Housing cost overburden rate (>40% of income),Age category,Sweden,SE,65 plus,0.16884245,4412
Affordability,Housing cost overburden rate (>40% of income),Age category,Slovenia,SI,18-24,0.025644088,1891
Affordability,Housing cost overburden rate (>40% of income),Age category,Slovenia,SI,25-39,0.029165944,3363
Affordability,Housing cost overburden rate (>40% of income),Age category,Slovenia,SI,40-65,0.041164298,8350
Affordability,Housing cost overburden rate (>40% of income),Age category,Slovenia,SI,65 plus,0.047885645,5646
Affordability,Housing cost overburden rate (>40% of income),Age category,Slovakia,SK,18-24,0.050090775,856
Affordability,Housing cost overburden rate (>40% of income),Age category,Slovakia,SK,25-39,0.063519336,1994
Affordability,Housing cost overburden rate (>40% of income),Age category,Slovakia,SK,40-65,0.060837429,4970
Affordability,Housing cost overburden rate (>40% of income),Age category,Slovakia,SK,65 plus,0.046562664,3788
Affordability,Housing cost overburden rate (>40% of income),Gender,Austria,AT,male,0.056332573,5975
Affordability,Housing cost overburden rate (>40% of income),Gender,Austria,AT,female,0.064640395,6507
Affordability,Housing cost overburden rate (>40% of income),Gender,Belgium,BE,male,0.073989175,6928
Affordability,Housing cost overburden rate (>40% of income),Gender,Belgium,BE,female,0.080750741,7319
Affordability,Housing cost overburden rate (>40% of income),Gender,Bulgaria,BG,male,0.10387937,8501
Affordability,Housing cost overburden rate (>40% of income),Gender,Bulgaria,BG,female,0.117780581,9573
Affordability,Housing cost overburden rate (>40% of income),Gender,Cyprus,CY,male,0.02642631,5112
