,calc_minorCategory,calc_subMinorCategory,calc_category_githubURL,__KP_ID,Category
37,Supporting businesses to stay afloat,Other,https://efstatic.eu/covid-19-db-factsheets/Supporting_businesses_to_stay_afloat.html,3,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Supporting_businesses_to_stay_afloat.html"">Supporting businesses to stay afloat</a>"
17,Measures to prevent social hardship,Preventing indebtedness,https://efstatic.eu/covid-19-db-factsheets/Measures_to_prevent_social_hardship.html,3,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Measures_to_prevent_social_hardship.html"">Measures to prevent social hardship</a>"
38,Supporting businesses to stay afloat,Rescue procedures in case of insolvency or adaptation of insolvency regulation,https://efstatic.eu/covid-19-db-factsheets/Supporting_businesses_to_stay_afloat.html,3,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Supporting_businesses_to_stay_afloat.html"">Supporting businesses to stay afloat</a>"
27,Re-orientation of business activities,Transfer or redeployment of workers ,https://efstatic.eu/covid-19-db-factsheets/Re-orientation_of_business_activities.html,2,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Re-orientation_of_business_activities.html"">Re-orientation of business activities</a>"
14,Measures to prevent social hardship,Access to healthcare,https://efstatic.eu/covid-19-db-factsheets/Measures_to_prevent_social_hardship.html,2,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Measures_to_prevent_social_hardship.html"">Measures to prevent social hardship</a>"
32,Support for essential services,Specific labour market information,https://efstatic.eu/covid-19-db-factsheets/Support_for_essential_services.html,2,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Support_for_essential_services.html"">Support for essential services</a>"
33,Supporting businesses to get back-to-normal,Measures to support a gradual relaunch of work,https://efstatic.eu/covid-19-db-factsheets/Supporting_businesses_to_get_back-to-normal.html,2,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Supporting_businesses_to_get_back-to-normal.html"">Supporting businesses to get back-to-normal</a>"
8,Employment protection and retention,Wage flexibility ,https://efstatic.eu/covid-19-db-factsheets/Employment_protection_and_retention.html,2,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Employment_protection_and_retention.html"">Employment protection and retention</a>"
7,Employment protection and retention,Other,https://efstatic.eu/covid-19-db-factsheets/Employment_protection_and_retention.html,2,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Employment_protection_and_retention.html"">Employment protection and retention</a>"
23,Protection of workers at the workplace,Well-being of workers,https://efstatic.eu/covid-19-db-factsheets/Protection_of_workers_at_the_workplace.html,2,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Protection_of_workers_at_the_workplace.html"">Protection of workers at the workplace</a>"
29,Support for essential services,Other,https://efstatic.eu/covid-19-db-factsheets/Support_for_essential_services.html,1,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Support_for_essential_services.html"">Support for essential services</a>"
16,Measures to prevent social hardship,Other,https://efstatic.eu/covid-19-db-factsheets/Measures_to_prevent_social_hardship.html,1,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Measures_to_prevent_social_hardship.html"">Measures to prevent social hardship</a>"
9,Employment protection and retention,Working time flexibility,https://efstatic.eu/covid-19-db-factsheets/Employment_protection_and_retention.html,1,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Employment_protection_and_retention.html"">Employment protection and retention</a>"
2,Change of work arrangements to ensure business continuity,Other,https://efstatic.eu/covid-19-db-factsheets/Change_of_work_arrangements_to_ensure_business_continuity.html,1,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Change_of_work_arrangements_to_ensure_business_continuity.html"">Change of work arrangements to ensure business continuity</a>"
12,Income protection beyond short-time work,Other,https://efstatic.eu/covid-19-db-factsheets/Income_protection_beyond_short-time_work.html,1,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Income_protection_beyond_short-time_work.html"">Income protection beyond short-time work</a>"
