Country,Year,Breakdown,Value,Column,Flag,Column1,ID
Denmark,2024,FROM 3 NON AROPE,100,,,,Children in formal childcare or education 
EU 27,2015,FROM 3 NON AROPE,89.2,,,,Children in formal childcare or education 
EU 27,2016,FROM 3 NON AROPE,91.8,,,,Children in formal childcare or education 
EU 27,2017,FROM 3 NON AROPE,90.6,,,,Children in formal childcare or education 
EU 27,2018,FROM 3 NON AROPE,91.7,,,,Children in formal childcare or education 
EU 27,2019,FROM 3 NON AROPE,92.2,,,,Children in formal childcare or education 
EU 27,2020,FROM 3 NON AROPE,82,,,,Children in formal childcare or education 
EU 27,2021,FROM 3 NON AROPE,89.5,,,,Children in formal childcare or education 
EU 27,2022,FROM 3 NON AROPE,91.3,,,,Children in formal childcare or education 
EU 27,2023,FROM 3 NON AROPE,91,,,,Children in formal childcare or education 
EU 27,2024,FROM 3 NON AROPE,91.4,,,,Children in formal childcare or education 
Estonia,2015,FROM 3 NON AROPE,95.2,,,,Children in formal childcare or education 
Estonia,2016,FROM 3 NON AROPE,94.3,,,,Children in formal childcare or education 
Estonia,2017,FROM 3 NON AROPE,96.4,,,,Children in formal childcare or education 
Estonia,2018,FROM 3 NON AROPE,96.3,,,,Children in formal childcare or education 
Estonia,2019,FROM 3 NON AROPE,95.7,,,,Children in formal childcare or education 
Estonia,2020,FROM 3 NON AROPE,95.7,,,,Children in formal childcare or education 
Estonia,2021,FROM 3 NON AROPE,93.8,,,,Children in formal childcare or education 
Estonia,2022,FROM 3 NON AROPE,95.9,,,,Children in formal childcare or education 
Estonia,2023,FROM 3 NON AROPE,97,,,,Children in formal childcare or education 
Estonia,2024,FROM 3 NON AROPE,97.2,,,,Children in formal childcare or education 
Finland,2015,FROM 3 NON AROPE,85.6,,,,Children in formal childcare or education 
Finland,2016,FROM 3 NON AROPE,87.4,,,,Children in formal childcare or education 
Finland,2017,FROM 3 NON AROPE,87.3,,,,Children in formal childcare or education 
Finland,2018,FROM 3 NON AROPE,86,,,,Children in formal childcare or education 
Finland,2019,FROM 3 NON AROPE,88.7,,,,Children in formal childcare or education 
Finland,2020,FROM 3 NON AROPE,84.9,,,,Children in formal childcare or education 
Finland,2021,FROM 3 NON AROPE,92.4,,,,Children in formal childcare or education 
Finland,2022,FROM 3 NON AROPE,93.1,,,,Children in formal childcare or education 
Finland,2023,FROM 3 NON AROPE,94.8,,,,Children in formal childcare or education 
